id,InstitutionName,Country,Year,total
2114,FORD MOTOR CO,United States,2015,432
2115,ITESM - Campus Santa Fe,Mexico,2015,432
2116,Universiti Malaysia Terengganu,Malaysia,2015,432
2117,AbbVie,United States,2016,431
2118,Universit<U+00E9> de Poitiers,France,2015,431
2119,University of Seville,Spain,2016,431
2120,Chalmers University,Sweden,2016,430
2121,Environment Canada,Canada,2014,430
2122,FH Joanneum,Austria,2016,429
2123,ITAM - Inst Tecn Autonomo Mexico,Mexico,2014,429
2124,Parliamentary Information Centre,South Africa,2016,429
2125,Universidad de Alicante - IEI,Spain,2016,429
2126,Daimler AG,Germany,2016,428
2127,The University of the South Pacific,Fiji,2015,428
2128,University of Dundee,United Kingdom,2016,428
2129,KANSAI UNIVERSITY,Japan,2015,427
2130,Universidad de Deusto. Biblioteca Universitaria,Spain,2015,427
2131,Universidad de Malaga LIBRARY,Spain,2015,427
2132,University of Delaware Library,United States,2016,427
2133,University of the Western Cape,South Africa,2015,427
2134,ABN AMRO Bank NV,Netherlands,2016,426
2135,Turkiye Istatistik Kurumu,Turkey,2014,426
2136,Universitas Gadjah Mada,Indonesia,2015,426
2137,University of Piraeus,Greece,2015,426
2138,Vanderbilt University,United States,2016,426
2139,African Studies Center Leiden,Netherlands,2014,425
2140,H Lundbeck A/S,Denmark,2015,425
2141,INER - Institute of Nuclear Energy Research,Chinese Taipei,2014,425
2142,Korea Institute for Health & Social Affairs,Korea - Republic of,2014,425
2143,Laurentian University,Canada,2014,425
2144,Universitatsbibliothek Siegen,Germany,2016,425
2145,Wayne State University Libraries,United States,2015,425
2146,Chulalongkorn University,Thailand,2015,424
2147,DARTMOUTH COLLEGE,United States,2016,424
2148,Imperial College London Library,United Kingdom,2014,424
2149,Indian Institute of Management - Ahmedabad,India,2015,424
2150,UNIVERSITY OF CALIFORNIA LOS ANGELES,United States,2014,424
2151,Ministry of Taxes of the Republic of Azerbaijan,Azerbaijan,2016,423
2152,Universidad Adolfo Ib<U+00E1><U+00F1>ez,Chile,2015,423
2153,University of Johannesburg,South Africa,2016,423
2154,Uniwersytet L<U+00F3>dzki,Poland,2014,423
2155,Banco Central de Costa Rica,Costa Rica,2016,422
2156,Confederazione Generale Industria Italiana,Italy,2015,422
2157,Corporaci<U+00F3>n Andina de Fomento,Venezuela,2016,422
2158,Dept of Education and Science,Ireland,2016,422
2159,Lappeenranta University of Technology,Finland,2015,422
2160,National Documentation Centre - EKT,Greece,2016,422
2161,Universit<U+00E9> de Neuchatel,Switzerland,2016,422
2162,DIPF,Germany,2016,421
2163,Universidade Federal do Rio Grande do Sul,Brazil,2016,421
2164,Bank of England,United Kingdom,2014,420
2165,Brookings Institution,United States,2014,420
2166,Northeastern University,United States,2015,420
2167,University of Texas Austin,United States,2014,420
2168,Business Academy Copenhagen North,Denmark,2015,419
2169,HITOTSUBASHI UNIVERSITY,Japan,2014,419
2170,Oeko-Institut,Germany,2015,419
2171,Welsh Government,United Kingdom,2016,419
2172,KANSAI UNIVERSITY,Japan,2016,418
2173,Universidad Politecnica de San Luis Potosi,Mexico,2016,418
2174,Universit<U+00E4>t Bonn,Germany,2014,418
2175,Industry Canada Library,Canada,2014,417
2176,Jawaharlal Nehru University,India,2016,417
2177,Opetus- ja kulttuuriministeri<U+00F6> - OKM,Finland,2016,417
2178,VDI/VDE Innovation + Technik GmbH,Germany,2015,417
2179,Statistics Denmark,Denmark,2015,416
2180,Hong Kong Baptist University,China - People<U+2019>s Republic,2016,415
2181,INSEAD,France,2015,415
2182,YOKOHAMA NATIONAL UNIVERSITY,Japan,2015,415
2183,Eduskunnan,Finland,2015,414
2184,Ministerio de Comercio Exterior Costa Rica,Costa Rica,2016,414
2185,Australian Department of Social Services,Australia,2014,413
2186,Nelson Mandela Metropolitan University,South Africa,2015,413
2187,The Economist Intelligence Unit,United Kingdom,2016,413
2188,UNIVERSITY OF NEVADA RENO,United States,2016,413
2189,Vytautas Magnus University,Lithuania,2016,413
2190,George Mason University,United States,2014,412
2191,Open Source Center,United States,2016,412
2192,Universitaetsbibliothek Giessen,Germany,2014,412
2193,AOYAMA GAKUIN UNIVERSITY,Japan,2014,411
2194,UNIVERSITE DE PARIS X,France,2014,411
2195,University of New Mexico Libraries,United States,2015,411
2196,Australian Department of Agriculture,Australia,2015,410
2197,ITRI Industrial Technology Research Institute,Chinese Taipei,2014,410
2198,National Taiwan Normal University,Chinese Taipei,2016,410
2199,Statistik <U+00D6>sterreich,Austria,2016,410
2200,UNIVERSITA' DEGLI STUDI DI TRIESTE - SBA,Italy,2015,410
2201,Universidad Nacional de Colombia,Colombia,2016,410
2202,Korea Labor Institute (KLI),Korea - Republic of,2016,409
2203,Manchester Metropolitan University,United Kingdom,2016,409
2204,REGIONE TOSCANA,Italy,2015,409
2205,Universidad de Antioquia,Colombia,2016,409
2206,Universita Studi di Verona,Italy,2015,409
2207,Durham University,United Kingdom,2014,408
2208,European Economic & Social Committee,Belgium,2016,408
2209,Junta de Andalucia (SSPA),Spain,2015,408
2210,Ministry of Education & Science of Lithuania,Lithuania,2016,408
2211,Peterson Institute for International Economics,United States,2016,408
2212,Universidade de Vigo,Spain,2016,408
2213,University of Missouri-Columbia,United States,2015,408
2214,Hauptverband der <U+00D6>sterr,Austria,2016,407
2215,US Committee on Science and Technology,United States,2015,407
2216,Universitat Pompeu Fabra,Spain,2014,407
2217,Anglia Ruskin University,United Kingdom,2015,406
2218,Escola Nacional de Ci<U+00EA>ncias Estat<U+00ED>sticas,Brazil,2015,406
2219,Niels Brock,Denmark,2016,406
2220,THE SEOUL INSTITUTE LIBARY,Korea - Republic of,2016,406
2221,University College of Northern Denmark,Denmark,2016,406
2222,University of New Mexico Libraries,United States,2016,406
2223,University of Stirling,United Kingdom,2016,406
2224,KAPSARC,Saudi Arabia,2015,405
2225,Universit<U+00E0> di Siena,Italy,2016,405
2226,University of California - San Diego,United States,2014,405
2227,Flinders University of South Australia,Australia,2014,404
2228,UN Consortium - WIPO,United States,2016,404
2229,UNIVERSITE NICE SOPHIA ANTIPOLIS,France,2015,404
2230,Universidade Federal do Rio de Janeiro,Brazil,2016,404
2231,Universita Studi di Verona,Italy,2016,404
2232,University of Guelph Library,Canada,2016,404
2233,Hochschule Ruhr West,Germany,2015,403
2234,Ministero dell'Economia e delle Finanze,Italy,2016,403
2235,University of Limerick,Ireland,2014,403
2236,AMERICAN UNIVERSITY LIBRARY,United States,2014,402
2237,DEUTSCHER BUNDESTAG - BIBLIOTHEK,Germany,2014,402
2238,ECOLE NORMALE SUPERIEURE,France,2016,402
2239,Glasgow Caledonian University,United Kingdom,2016,402
2240,Universite de Bourgogne,France,2015,402
2241,CMS Bureau Francis Lefebvre,France,2014,401
2242,Confederacao Nacional da Ind<U+00FA>stria,Brazil,2015,401
2243,UNIVERSITY OF CALIFORNIA RIVERSIDE Libraries,United States,2015,401
2244,Central University of Finance and Economics,China - People<U+2019>s Republic,2014,400
2245,Centro de Forma<U+00E7><U+00E3>o Treinamento E Aperfei<U+00E7>oamento,Brazil,2016,400
2246,Marquette University,United States,2016,400
2247,Ministry for the Environment,New Zealand,2015,400
2248,Petronas - Petroliam Nasional Berhad,Malaysia,2015,400
2249,Uniwersytet Ekonomiczny w Katowicach,Poland,2014,400
2250,Academia Sinica Institute of Economics,Chinese Taipei,2016,399
2251,Bank of Thailand,Thailand,2015,399
2252,SINTEF,Norway,2016,399
2253,University of Massachusetts Boston,United States,2015,399
2254,Fachhochschule Hannover,Germany,2014,398
2255,Universidade de Sao Paulo,Brazil,2014,398
2256,Universit<U+00E0> Studi Milano Bicocca,Italy,2014,398
2257,Universiti Malaysia Sarawak - UNIMAS,Malaysia,2016,398
2258,LUISS Guido Carli,Italy,2014,397
2259,<U+00D6>sterreichisches Parlament,Austria,2016,396
2260,JOCHI (SOPHIA) UNIVERSITY LIBRARY,Japan,2016,396
2261,Bayerische Staatsbibliothek,Germany,2016,395
2262,GAKUSHUIN UNIVERSITY,Japan,2015,395
2263,Suffolk University,United States,2015,395
2264,CNR Torino,Italy,2016,394
2265,Carnegie Mellon University,United States,2014,394
2266,Comisi<U+00F3>n Federal de Competecia Econ<U+00F3>mica ( COFECE),Mexico,2015,394
2267,Florida International University,United States,2016,394
2268,German Development Institute,Germany,2016,394
2269,IESE Business School,Spain,2016,394
2270,Mahidol University (MU),Thailand,2016,394
2271,University of Hertfordshire,United Kingdom,2016,394
2272,Hertie School of Governance,Germany,2014,393
2273,University of West Bohemia in Pilsen,Czech Republic,2014,393
2274,Instituto Nacional de Metrologia Normaliza<U+00E7><U+00E3>o e Qualidade Industrial,Brazil,2016,392
2275,Middlebury College Library,United States,2014,392
2276,Universit<U+00E4>t Konstanz,Germany,2014,392
2277,ASSEMBLEE NATIONALE,France,2016,391
2278,Institute for Global Environmental Strategies,Japan,2016,391
2279,Myongji University,Korea - Republic of,2015,391
2280,Narodowy Bank Polski,Poland,2014,391
2281,University of Chicago Library,United States,2014,391
2282,University of Tampere,Finland,2014,391
2283,Korea Employment Information Service,Korea - Republic of,2016,390
2284,University of Windsor,Canada,2016,390
2285,Syracuse University,United States,2014,389
2286,University of Fort Hare,South Africa,2016,389
2287,Slovak Ctr for Scientific and Technical Information,Slovak Republic,2014,388
2288,Department of Agriculture - Fisheries & Forestry,Australia,2015,387
2289,Hochschule D<U+00FC>sseldorf,Germany,2016,387
2290,University of Bristol Library,United Kingdom,2014,387
2291,University of New Hampshire,United States,2015,387
2292,Central Bank of Ireland,Ireland,2015,386
2293,Commonwealth Secretariat,United Kingdom,2014,386
2294,EMORY UNIVERSITY,United States,2014,386
2295,Financial University under the Government of the Russian Federation,Russian Federation,2015,386
2296,Korea Institute of Finance,Korea - Republic of,2016,386
2297,NATIONAL LIBRARY OF AUSTRALIA,Australia,2016,386
2298,Universitas Gadjah Mada,Indonesia,2016,386
2299,Universiti of Malaya,Malaysia,2015,386
2300,Assembleia da Rep<U+00FA>blica,Portugal,2016,385
2301,IFP Energies nouvelles,France,2015,385
2302,Pontif<U+00ED>cia Universidade Cat<U+00F3>lica do Rio de Janeiro,Brazil,2016,385
2303,The Boston Consulting Group GmbH,Germany,2015,385
2304,Universitat Ilmenau,Germany,2015,385
2305,University of Richmond,United States,2016,385
2306,VGLS,Australia,2014,385
2307,Department of Health and Children,Ireland,2016,384
2308,ETUI Documentation Centre,Belgium,2015,383
2309,NEA Nuclear Energy Agency,France,2015,383
2310,U C N Education and Learning Ltd,United Kingdom,2015,383
2311,University of Johannesburg,South Africa,2015,383
2312,Bundesverband der Deutschen Industrie E.V.,Germany,2015,382
2313,Collegium Medicum Krakow,Poland,2015,382
2314,Dublin Institute of Technology,Ireland,2015,382
2315,Universiti Malaysia Sarawak - UNIMAS,Malaysia,2015,382
2316,Fachhochschule Jena,Germany,2015,381
2317,Government Research and Information Library (GRAIL),Australia,2015,381
2318,Interdisciplinary Center - Herzliya,Israel,2016,380
2319,Skatteverket,Sweden,2014,380
2320,University of Brighton,United Kingdom,2016,380
2321,University of Utah - Marriott Library,United States,2015,380
2322,BASF SE,Germany,2015,379
2323,Hotelschool the Hague,Netherlands,2016,379
2324,Instituto Nacional de Estat<U+00ED>stica,Portugal,2015,379
2325,NEA Nuclear Energy Agency,France,2016,379
2326,NIER - Natl Inst for Educational Policy Research,Japan,2016,379
2327,Tribunal De Contas,Portugal,2015,379
2328,UN Consortium - WHO Library,United States,2014,379
2329,UNIVERSITA' DEGLI STUDI DI TRIESTE - SBA,Italy,2016,379
2330,US Army War College Library,United States,2016,379
2331,Amundi,France,2014,378
2332,CETYS Instituto Educativo del Noreste - A.C.,Mexico,2015,378
2333,Inha University,Korea - Republic of,2016,378
2334,Macquarie University Library,Australia,2014,378
2335,Universidade Federal de Santa Catarina,Brazil,2015,378
2336,Czech University of Life Sciences Prague,Czech Republic,2015,377
2337,ECOLE NORMALE SUPERIEURE,France,2015,377
2338,Kingston University Library,United Kingdom,2016,377
2339,NIFU,Norway,2015,377
2340,National Agricultural Library,United States,2016,377
2341,PETROBRAS,Brazil,2015,377
2342,TaiwanICDF,Chinese Taipei,2016,377
2343,University of Salford,United Kingdom,2015,377
2344,Novo Nordisk A/S,Denmark,2015,376
2345,SEIJO UNIVERSITY,Japan,2015,376
2346,University of Oregon,United States,2016,376
2347,Eduskunnan,Finland,2016,375
2348,European Economic & Social Committee,Belgium,2015,375
2349,IMHE Member Access,France,2015,375
2350,Ministry of Social Development,New Zealand,2015,375
2351,Ohio University,United States,2015,375
2352,Russian State Library,Russian Federation,2016,375
2353,Universitat Rovira i Virgili,Spain,2016,375
2354,Bank Indonesia,Indonesia,2014,374
2355,DTU Library,Denmark,2015,374
2356,ETUI Documentation Centre,Belgium,2016,374
2357,State Bank of Pakistan,Pakistan,2015,374
2358,European Training Foundation,Italy,2016,373
2359,Hochschule Furtwangen Bibliothek,Germany,2016,373
2360,INTERNATIONAL UNIVERSITY OF JAPAN,Japan,2015,373
2361,Pamukkale <U+00DC>niversitesi,Turkey,2016,373
2362,Technische Informationsbibliothek (TIB),Germany,2014,373
2363,Universidad de Cantabria. Biblioteca,Spain,2016,373
2364,Universitetsbiblioteket I Bergen,Norway,2014,373
2365,CISTI / National Research Council Canada,Canada,2015,372
2366,Ernst & Young Tax Advisors Netherlands LLP,Netherlands,2016,372
2367,Universidad de Cantabria. Biblioteca,Spain,2015,372
2368,Centro Apoyo Investigaci<U+00F3>n Econ<U+00F3>mica - Banco de la Rep<U+00FA>blica,Colombia,2015,371
2369,Dalian University of Technology,China - People<U+2019>s Republic,2015,371
2370,FH Dortmund,Germany,2015,371
2371,Hochschule f<U+00FC>r Technik und Wirtschaft Berlin (HTW),Germany,2014,371
2372,Mississippi State University Libraries,United States,2014,371
2373,Tallinn University of Technology,Estonia,2014,371
2374,Information Analytical Center,Kazakhstan,2016,370
2375,Marmara University Library,Turkey,2014,370
2376,National Taiwan Normal University,Chinese Taipei,2015,370
2377,Universit<U+00E4>t Dortmund,Germany,2014,370
2378,University of Huddersfield,United Kingdom,2015,370
2379,University of Latvia,Latvia,2014,370
2380,Vietnam National University,Viet Nam,2015,370
2381,Australian Catholic University,Australia,2016,369
2382,M<U+00E4>lardalens Hogskola,Sweden,2016,369
2383,Petronas - Petroliam Nasional Berhad,Malaysia,2016,369
2384,EMORY UNIVERSITY,United States,2015,368
2385,Funda<U+00E7><U+00E3>o Oswaldo Cruz,Brazil,2016,368
2386,University of Haifa Library,Israel,2016,368
2387,Zentral- und Hochschulbibliothek Luzern,Switzerland,2016,368
2388,Finansdepartementet,Norway,2016,367
2389,Fraunhofer Zentrum Mittel- und Osteuropa,Germany,2015,367
2390,Hacettepe University Library,Turkey,2014,367
2391,Instituto de Estudios Fiscales,Spain,2016,367
2392,NAGOYA UNIVERSITY,Japan,2014,367
2393,Shanghai University of Intl Business and Economics,China - People<U+2019>s Republic,2016,367
2394,Universitaetsbibliothek Trier,Germany,2014,367
2395,Erciyes <U+00DC>nivrsitesi,Turkey,2015,366
2396,Hochschule Furtwangen Bibliothek,Germany,2015,366
2397,Leeds Beckett University,United Kingdom,2016,366
2398,Regione Emilia Romagna,Italy,2015,366
2399,US Govt Accounting Office,United States,2016,366
2400,Vorarlberger Landesbibliothek,Austria,2016,366
2401,Anglia Ruskin University,United Kingdom,2016,365
2402,Erhvervsakademi Kolding - IBA,Denmark,2015,365
2403,National Analytical Center,Kazakhstan,2016,365
2404,Stockholm School of Economics in Riga,Latvia,2016,365
2405,Tillv<U+00E4>xtanalys,Sweden,2015,365
2406,Julius K<U+00FC>hn-Institut,Germany,2014,364
2407,Queen Mary & Westfield College,United Kingdom,2014,364
2408,Hochschule Rosenheim,Germany,2016,363
2409,IZA Institute for the Study of Labour GmbH,Germany,2015,363
2410,Tritonia Academic Library,Finland,2015,363
2411,Comisi<U+00F3>n Nacional de Investigaci<U+00F3>n Cient<U+00ED>fica y Tecnol<U+00F3>gica,Chile,2016,362
2412,Curtin University Library,Australia,2014,362
2413,Hochschul- und Landesbibliothek Hochschule Fulda,Germany,2016,362
2414,Library - Univ of Northern BC,Canada,2015,362
2415,Centre for Strategic & Policy Studies - CSPS,Brunei Darussalam,2016,361
2416,East Carolina University,United States,2015,361
2417,Mitsubishi Sogo Kenkyujo,Japan,2014,361
2418,New Zealand Ministry of Health,New Zealand,2016,361
2419,Tarbiat Modares University,Iran - Islamic Republic of,2016,361
2420,Universidad de Concepci<U+00F3>n,Chile,2016,361
2421,MEIJI GAKUIN DAIGAKU,Japan,2015,360
2422,University of Cincinnati,United States,2015,360
2423,Purdue University Library,United States,2014,359
2424,University of Oregon,United States,2015,359
2425,AALBORG UNIVERSITY LIBRARY,Denmark,2014,358
2426,Chinhoyi University of Technology. Library,Zimbabwe,2016,358
2427,Hans-B<U+00F6>ckler-Stiftung,Germany,2015,358
2428,Tritonia Academic Library,Finland,2016,358
2429,INSEAD,France,2016,357
2430,National Cheng Kung University,Chinese Taipei,2015,357
2431,University of Rochester,United States,2016,357
2432,Brown University Library,United States,2015,356
2433,Brown University Library,United States,2016,356
2434,Canadian Agriculture Library,Canada,2014,356
2435,Institute for Information Industry - III,Chinese Taipei,2015,356
2436,NATIONAL LIBRARY OF AUSTRALIA,Australia,2015,356
2437,Zhejiang University of Finance & Economics,China - People<U+2019>s Republic,2016,356
2438,Hochschul- und Landesbibliothek Hochschule Fulda,Germany,2015,355
2439,Rodo Seisaku Kenkyu Kiko,Japan,2016,355
2440,Universidad Militar Nueva Granada,Colombia,2016,355
2441,Banco Central de Chile,Chile,2016,354
2442,DE MONTFORT UNIVERSITY,United Kingdom,2016,354
2443,Hochschule f<U+00FC>r angewandte Wissenschaften - FH Neu-Ulm,Germany,2015,354
2444,Trent University,Canada,2015,354
2445,Universidad EAN,Colombia,2016,354
2446,University of North Carolina at Charlotte-Atkins Library,United States,2015,354
2447,Hochschule D<U+00FC>sseldorf,Germany,2015,353
2448,RIKKYO UNIVERSITY,Japan,2014,353
2449,Istanbul Bilgi Universitesi,Turkey,2014,352
2450,Universit<U+00E4>t Marburg,Germany,2014,352
2451,University of South Australia Library - IR&T,Australia,2014,352
2452,Junta de Andalucia (SSPA),Spain,2016,351
2453,Kyung Hee University Central Library,Korea - Republic of,2016,351
2454,NIHON UNIVERSITY,Japan,2016,351
2455,University of Newcastle,Australia,2014,351
2456,Bibliotheek Queteletfonds,Belgium,2016,350
2457,Brunel University,United Kingdom,2014,350
2458,Confederacao Nacional da Ind<U+00FA>stria,Brazil,2016,350
2459,Gaziantep Universitesi,Turkey,2015,350
2460,Hochschule Niederrhein,Germany,2015,350
2461,Korea Research Institute for Human Settlement,Korea - Republic of,2016,350
2462,Ministry of Finance,Turkey,2016,350
2463,Temple University,United States,2014,350
2464,Universidad de Santiago de Chile,Chile,2016,350
2465,Funda<U+00E7><U+00E3>o Oswaldo Cruz,Brazil,2015,349
2466,SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,2014,349
2467,Tomas Bata University,Czech Republic,2015,349
2468,CIRAD,France,2016,348
2469,COUNCIL ON FOREIGN RELATIONS,United States,2016,348
2470,DE MONTFORT UNIVERSITY,United Kingdom,2015,348
2471,Frankfurt School of Finance & Management,Germany,2016,348
2472,Haver Analytics,France,2015,348
2473,Morgan Stanley,United States,2014,348
2474,Universidade Estadual Paulista Julio de Mesquita Filho,Brazil,2015,348
2475,University of Arizona Library,United States,2016,348
2476,Aristotle University of Thessaloniki,Greece,2015,347
2477,Karlsruher Institut f<U+00FC>r Technologie,Germany,2014,347
2478,Parliamentary Library,Australia,2014,347
2479,Pontif<U+00ED>cia Universidade Cat<U+00F3>lica do Rio de Janeiro,Brazil,2015,347
2480,Universita di Trento,Italy,2014,347
2481,Adnan Menderes University,Turkey,2016,346
2482,Banco de Portugal,Portugal,2014,346
2483,Biblio Assemblee Nationale,Canada,2016,346
2484,East China Normal University,China - People<U+2019>s Republic,2014,346
2485,Generalitat de Catalunya,Spain,2015,346
2486,Great Zimbabwe University,Zimbabwe,2016,346
2487,MEIJI GAKUIN DAIGAKU,Japan,2016,346
2488,RYUKOKU DAIGAKU,Japan,2015,346
2489,Saskatchewan Dept of Finance,Canada,2016,346
2490,European University Institute,Italy,2014,345
2491,Hochschule Vechta,Germany,2015,345
2492,Welsh Government,United Kingdom,2015,345
2493,International Christian University,Japan,2016,344
2494,National Defense University,United States,2015,344
2495,Shearman & Sterling,United States,2015,344
2496,The Japan Research Institute Ltd,Japan,2014,344
2497,Universit<U+00E4>ts- und Landesbibliothek D<U+00FC>sseldorf,Germany,2014,344
2498,CENTRAL BANK OF ICELAND,Iceland,2016,343
2499,Hogeschool Zuyd,Netherlands,2015,343
2500,Osaka University,Japan,2016,343
2501,University of Stellenbosch,South Africa,2014,343
2502,Birbeck University of London,United Kingdom,2015,342
2503,CNMC Espa<U+00F1>a,Spain,2016,342
2504,Middlesex University,United Kingdom,2016,342
2505,Mugla Universitesi,Turkey,2015,342
2506,National Library of Estonia,Estonia,2015,342
2507,Universidad Alcala de Henares,Spain,2016,342
2508,Dept for Business and Innovation Skills - BIS,United Kingdom,2016,341
2509,Escola Nacional de Ci<U+00EA>ncias Estat<U+00ED>sticas,Brazil,2016,341
2510,MEIJI UNIVERSITY,Japan,2014,341
2511,Nova Southeastern University,United States,2016,341
2512,EDINBURGH NAPIER UNIVERSITY,United Kingdom,2016,340
2513,Janssen Pharmaceutical NV / Belgium,Belgium,2016,340
2514,National and University Library Ljubljana,Slovenia,2014,340
2515,Universidad Oberta de Catalunya,Spain,2015,340
2516,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,2016,340
2517,AK Bibliothek Wien f<U+00FC>r Sozialwissenschaften,Austria,2016,339
2518,HS Landshut - Bibliothek,Germany,2016,339
2519,Library - Univ of Northern BC,Canada,2016,339
2520,Aalto University,Finland,2014,338
2521,FRB Chicago,United States,2015,338
2522,Green Growth Planning & Implementation - GGGI,Korea - Republic of,2015,338
2523,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth,Germany,2016,338
2524,National Agricultural Library,United States,2015,338
2525,ULg - Biblioth<U+00E8>que L Graulich,Belgium,2014,338
2526,Universidade Federal do Rio Grande do Sul,Brazil,2015,338
2527,Universitaetsbibliothek Muenchen,Germany,2014,338
2528,University Pardubice,Czech Republic,2015,338
2529,University of Alabama,United States,2015,338
2530,University of Economics and Law - UEL,Viet Nam,2016,338
2531,Birmingham City University,United Kingdom,2015,337
2532,LABOUR INSTITUTE FOR ECONOMIC RESEARCH,Finland,2015,337
2533,South Sun Yat-Sen University,China - People<U+2019>s Republic,2015,337
2534,The University of the South Pacific,Fiji,2016,337
2535,Debremarkos University,Ethiopia,2015,336
2536,ESMT European School of Management and Technology,Germany,2015,336
2537,ITESM - Campus Monterrey,Mexico,2015,336
2538,KfW Bankengruppe,Germany,2014,336
2539,UNIVERSITY OF IDAHO LIBRARY,United States,2016,336
2540,Bahir Dar University,Ethiopia,2015,335
2541,Helmut-Schmidt-Universit<U+00E4>t Hamburg,Germany,2015,335
2542,Institute for Information Industry - III,Chinese Taipei,2016,335
2543,Ministry of Trade and Industry - Singapore,Singapore,2015,335
2544,Norwegian Institute of Public Health,Norway,2016,335
2545,Suffolk University,United States,2016,335
2546,Universitatsbibliothek,Germany,2016,335
2547,University of Economics and Law - UEL,Viet Nam,2015,335
2548,University of Haifa Library,Israel,2015,335
2549,University of Macedonia,Greece,2015,335
2550,Karadeniz Technical University Library,Turkey,2016,334
2551,The Bank of Lithuania,Lithuania,2015,334
2552,Universidad Pablo de Olavide,Spain,2015,334
2553,Universidad del Rosario,Colombia,2014,334
2554,Anadolu University,Turkey,2014,333
2555,NEW YORK PUBLIC LIBRARY,United States,2016,333
2556,Riigikontroll,Estonia,2015,333
2557,UNIVERSITY OF NEVADA RENO,United States,2014,333
2558,Uniwersytet Ekonomiczny we Wroclawiu,Poland,2014,333
2559,Zhongnan University of Economics and Law,China - People<U+2019>s Republic,2016,333
2560,Bilkent <U+00DC>niversitesi,Turkey,2014,332
2561,Hochschule Ludwigshafen a. Rhein,Germany,2015,332
2562,Universitat de Barcelona. CRAI,Spain,2014,332
2563,CONSEJO ECONOMICO Y SOCIAL,Spain,2016,331
2564,Eindhoven University of Technology,Netherlands,2016,331
2565,McKinsey & Company Inc,Germany,2015,331
2566,Ministry of Health and Welfare,Chinese Taipei,2014,331
2567,Skolverket,Sweden,2015,331
2568,The Boston Consulting Group GmbH,Germany,2016,331
2569,The Grand National Assembly of Turkey,Turkey,2016,331
2570,Collegium Medicum Krakow,Poland,2016,330
2571,Instituto de Salud Carlos III,Spain,2014,330
2572,Konjunkturinstitutet,Sweden,2016,330
2573,Roskilde University Library,Denmark,2014,330
2574,Umweltbundesamt,Germany,2014,330
2575,Centro de Forma<U+00E7><U+00E3>o Treinamento E Aperfei<U+00E7>oamento,Brazil,2015,329
2576,National Defense University,United States,2016,329
2577,African Medical and Research Foundation,Kenya,2016,328
2578,Boston College,United States,2014,328
2579,Oxford Brookes University,United Kingdom,2014,328
2580,UN Consortium - IAEA,United States,2014,328
2581,UNIVERSITE CONCORDIA,Canada,2014,328
2582,University of Portsmouth Library,United Kingdom,2014,328
2583,Waterford Institute of Technology,Ireland,2015,328
2584,UNIVERSITY OF KANSAS,United States,2015,327
2585,WZ Berlin,Germany,2014,327
2586,FOLKETINGET,Denmark,2016,326
2587,Fordham University,United States,2015,326
2588,Korea Student Aid Foundation,Korea - Republic of,2016,326
2589,RVA - ONEM,Belgium,2016,326
2590,Statistiska Centralbyr<U+00E5>n,Sweden,2016,326
2591,Universite de Bourgogne,France,2016,326
2592,University of North Carolina at Charlotte-Atkins Library,United States,2016,326
2593,Helmut-Schmidt-Universit<U+00E4>t Hamburg,Germany,2016,325
2594,Link<U+00F6>ping University Library,Sweden,2014,325
2595,Sofia University "St. Kliment Ohridski",Bulgaria,2016,325
2596,Universit<U+00E4>t Potsdam,Germany,2014,325
2597,Universit<U+00E4>ts- und Landesbibliothek Tirol,Austria,2014,325
2598,Gesundheit <U+00D6>sterreich GmbH,Austria,2015,324
2599,Hogeschool Zuyd,Netherlands,2016,324
2600,NPS Dudley Knox Library,United States,2016,324
2601,National Institute of Finance,Viet Nam,2016,324
2602,UOIT Campus Libraries,Canada,2016,324
2603,Universidade Federal do Cear<U+00E1>,Brazil,2016,324
2604,Makerere University,Uganda,2016,323
2605,London Metropolitan University,United Kingdom,2015,322
2606,Taiwan Institute of Economic Research,Chinese Taipei,2014,322
2607,Universit<U+00E9> Pantheon Assas Paris 2,France,2015,322
2608,Huazhong University of Science and Technology,China - People<U+2019>s Republic,2016,321
2609,Korea Institute of Public Administration - KIPA,Korea - Republic of,2016,321
2610,Oulu University,Finland,2015,321
2611,Ben Gurion University,Israel,2014,320
2612,Georgia Institute of Technology Library,United States,2014,320
2613,Uio Universitetsbiblioteket,Norway,2016,320
2614,Universidad Estatal A Distancia,Costa Rica,2014,320
2615,Universidad del Desarrollo,Chile,2016,320
2616,Wuhan University,China - People<U+2019>s Republic,2014,320
2617,CEA,France,2015,319
2618,Deutsche Zentralbibliothek f<U+00FC>r Wirtschaftswissenschaften,Germany,2014,319
2619,Memorial University of Newfoundland,Canada,2015,319
2620,Universit<U+00E4>tsbibliothek Kaiserslautern,Germany,2016,319
2621,Zentrale Hochschulbibliothek Flensburg,Germany,2015,319
2622,Deakin University,Australia,2014,318
2623,Dokuz Eylul University,Turkey,2014,318
2624,Hebrew University of Jerusalem,Israel,2014,318
2625,Hochschule Aalen - Technik und Wirtschaft,Germany,2015,318
2626,UNIVERSITY OF TECHNOLOGY SYDNEY,Australia,2014,318
2627,British Library,United Kingdom,2015,317
2628,Mizuho Joho Soken KK,Japan,2015,317
2629,Oesterreichische Nationalbibliothek,Austria,2015,317
